=== Transmission / Reflection vs Energy (Displayed Range) ===
 Energy (eV)    Transmission      Reflection
      1.9369        0.999662        0.000338
      1.9414        0.999701        0.000299
      1.9459        0.999997        0.000003
      1.9505        0.999664        0.000336
      1.9550        0.999236        0.000764
      1.9595        0.999741        0.000259
      1.9640        0.999877        0.000123
      1.9685        0.998810        0.001190
      1.9730        0.998853        0.001147
      1.9775        0.999977        0.000023
      1.9820        0.998822        0.001178
      1.9865        0.997250        0.002750
      1.9910        0.999111        0.000889
      1.9955        0.999453        0.000547
      2.0000        0.995326        0.004674
      2.0045        0.995816        0.004184
      2.0090        0.999988        0.000012
      2.0135        0.994081        0.005919
      2.0180        0.987584        0.012416
      2.0225        0.996703        0.003297
      2.0270        0.995471        0.004529
      2.0315        0.968987        0.031013
      2.0360        0.969683        0.030317
      2.0405        0.999792        0.000208
      2.0450        0.933638        0.066362
      2.0495        0.731899        0.268101
      2.0541        0.194021        0.805979
      2.0586        0.014556        0.985444
      2.0631        0.014462        0.985538
      2.0676        0.199451        0.800549
      2.0721        0.693082        0.306918
      2.0766        0.908337        0.091663
      2.0811        0.999853        0.000147
      2.0856        0.952466        0.047534
      2.0901        0.949136        0.050864
      2.0946        0.994130        0.005870
      2.0991        0.989719        0.010281
      2.1036        0.971614        0.028386
      2.1081        0.990948        0.009052
      2.1126        0.997975        0.002025
      2.1171        0.983195        0.016805
      2.1216        0.990403        0.009597
      2.1261        0.999840        0.000160
      2.1306        0.989714        0.010286
      2.1351        0.990907        0.009093
      2.1396        0.999945        0.000055
      2.1441        0.993572        0.006428
      2.1486        0.991785        0.008215
      2.1532        0.999594        0.000406
      2.1577        0.995909        0.004091
      2.1622        0.992737        0.007263
      2.1667        0.999203        0.000797
      2.1712        0.997334        0.002666
      2.1757        0.993626        0.006374
      2.1802        0.998903        0.001097
      2.1847        0.998202        0.001798
      2.1892        0.994396        0.005604
      2.1937        0.998719        0.001281
      2.1982        0.998725        0.001275
      2.2027        0.995033        0.004967
      2.2072        0.998643        0.001357
      2.2117        0.999031        0.000969
      2.2162        0.995544        0.004456
      2.2207        0.998655        0.001345
      2.2252        0.999197        0.000803
      2.2297        0.995945        0.004055
      2.2342        0.998737        0.001263
      2.2387        0.999267        0.000733
      2.2432        0.996258        0.003742
      2.2477        0.998873        0.001127
      2.2523        0.999265        0.000735
      2.2568        0.996506        0.003494
      2.2613        0.999050        0.000950
      2.2658        0.999203        0.000797
      2.2703        0.996714        0.003286
      2.2748        0.999255        0.000745
      2.2793        0.999082        0.000918
      2.2838        0.996908        0.003092
      2.2883        0.999473        0.000527
      2.2928        0.998904        0.001096
      2.2973        0.997114        0.002886
      2.3018        0.999684        0.000316
      2.3063        0.998674        0.001326
      2.3108        0.997359        0.002641
      2.3153        0.999863        0.000137
      2.3198        0.998401        0.001599
      2.3243        0.997663        0.002337
      2.3288        0.999977        0.000023
      2.3333        0.998108        0.001892
      2.3378        0.998040        0.001960
      2.3423        0.999991        0.000009
      2.3468        0.997833        0.002167
      2.3514        0.998487        0.001513
      2.3559        0.999871        0.000129
      2.3604        0.997628        0.002372
      2.3649        0.998975        0.001025
      2.3694        0.999597        0.000403
      2.3739        0.997554        0.002446
      2.3784        0.999447        0.000553
      2.3829        0.999179        0.000821
      2.3874        0.997667        0.002333
      2.3919        0.999820        0.000180
      2.3964        0.998667        0.001333
      2.4009        0.997997        0.002003
      2.4054        0.999996        0.000004
      2.4099        0.998161        0.001839
      2.4144        0.998522        0.001478
      2.4189        0.999896        0.000104
      2.4234        0.997797        0.002203
      2.4279        0.999144        0.000856
      2.4324        0.999498        0.000502
      2.4369        0.997713        0.002287
      2.4414        0.999700        0.000300
      2.4459        0.998878        0.001122
      2.4505        0.997990        0.002010
      2.4550        0.999989        0.000011
      2.4595        0.998222        0.001778
      2.4640        0.998592        0.001408
      2.4685        0.999860        0.000140
      2.4730        0.997786        0.002214
      2.4775        0.999328        0.000672
      2.4820        0.999302        0.000698
      2.4865        0.997796        0.002204
      2.4910        0.999884        0.000116
      2.4955        0.998512        0.001488
      2.5000        0.998314        0.001686
      2.5045        0.999957        0.000043
      2.5090        0.997860        0.002140
      2.5135        0.999141        0.000859
      2.5180        0.999433        0.000567
      2.5225        0.997726        0.002274
      2.5270        0.999841        0.000159
      2.5315        0.998535        0.001465
      2.5360        0.998260        0.001740
      2.5405        0.999952        0.000048
      2.5450        0.997781        0.002219
      2.5495        0.999197        0.000803
      2.5541        0.999311        0.000689
      2.5586        0.997701        0.002299
      2.5631        0.999918        0.000082
      2.5676        0.998272        0.001728
      2.5721        0.998433        0.001567
      2.5766        0.999832        0.000168
      2.5811        0.997575        0.002425
      2.5856        0.999490        0.000510
      2.5901        0.998885        0.001115
      2.5946        0.997825        0.002175
      2.5991        1.000000        0.000000
      2.6036        0.997767        0.002233
      2.6081        0.998906        0.001094
      2.6126        0.999404        0.000596
      2.6171        0.997457        0.002543
      2.6216        0.999888        0.000112
      2.6261        0.998102        0.001898
      2.6306        0.998336        0.001664
      2.6351        0.999746        0.000254
      2.6396        0.997287        0.002713
      2.6441        0.999621        0.000379
      2.6486        0.998443        0.001557
      2.6532        0.997856        0.002144
      2.6577        0.999924        0.000076
      2.6622        0.997227        0.002773
      2.6667        0.999309        0.000691
      2.6712        0.998712        0.001288
      2.6757        0.997473        0.002527
      2.6802        0.999989        0.000011
      2.6847        0.997187        0.002813
      2.6892        0.999023        0.000977
      2.6937        0.998876        0.001124
      2.6982        0.997163        0.002837
      2.7027        1.000000        0.000000
      2.7072        0.997099        0.002901
      2.7117        0.998807        0.001193
      2.7162        0.998922        0.001078
      2.7207        0.996898        0.003102
      2.7252        0.999997        0.000003
      2.7297        0.996915        0.003085
      2.7342        0.998689        0.001311
      2.7387        0.998837        0.001163
      2.7432        0.996666        0.003334
      2.7477        0.999999        0.000001
      2.7523        0.996602        0.003398
      2.7568        0.998693        0.001307
      2.7613        0.998589        0.001411
      2.7658        0.996480        0.003520
      2.7703        0.999993        0.000007
      2.7748        0.996148        0.003852
      2.7793        0.998840        0.001160
      2.7838        0.998127        0.001873
      2.7883        0.996391        0.003609
      2.7928        0.999918        0.000082
      2.7973        0.995570        0.004430
      2.8018        0.999139        0.000861
      2.8063        0.997381        0.002619
      2.8108        0.996486        0.003514
      2.8153        0.999657        0.000343
      2.8198        0.994947        0.005053
      2.8243        0.999546        0.000454
      2.8288        0.996296        0.003704
      2.8333        0.996877        0.003123
      2.8378        0.999021        0.000979
      2.8423        0.994444        0.005556
      2.8468        0.999916        0.000084
      2.8514        0.994887        0.005113
      2.8559        0.997645        0.002355
      2.8604        0.997776        0.002224
      2.8649        0.994329        0.005671
      2.8694        0.999939        0.000061
      2.8739        0.993333        0.006667
      2.8784        0.998726        0.001274
      2.8829        0.995740        0.004260
      2.8874        0.994920        0.005080
      2.8919        0.999112        0.000888
      2.8964        0.992070        0.007930
      2.9009        0.999746        0.000254
      2.9054        0.992972        0.007028
      2.9099        0.996406        0.003594
      2.9144        0.996862        0.003138
      2.9189        0.991779        0.008221
      2.9234        0.999866        0.000134
      2.9279        0.990024        0.009976
      2.9324        0.998488        0.001512
      2.9369        0.992881        0.007119
      2.9414        0.993136        0.006864
      2.9459        0.997846        0.002154
      2.9505        0.988066        0.011934
      2.9550        0.999960        0.000040
      2.9595        0.987680        0.012320
      2.9640        0.996183        0.003817
      2.9685        0.992595        0.007405
      2.9730        0.988589        0.011411
      2.9775        0.998566        0.001434
      2.9820        0.982999        0.017001
