,Date,Model,Ticker,Weight
177,2002-01-02,Risk-Parity,UNP,0.012900787861062116
178,2002-01-02,Risk-Parity,ADI,0.003553898708555596
179,2002-01-02,Risk-Parity,TMUS,0.10848481778984563
180,2002-01-02,Risk-Parity,MMM,0.007750484922505259
181,2002-01-02,Risk-Parity,ADBE,0.004272793237737582
182,2002-01-02,Risk-Parity,AXP,0.005927089758156213
183,2002-01-02,Risk-Parity,BA,0.006936774550475016
184,2002-01-02,Risk-Parity,CVX,0.020621521772989416
185,2002-01-02,Risk-Parity,CSCO,0.0037967349428078617
186,2002-01-02,Risk-Parity,DD,0.008094620289751596
187,2002-01-02,Risk-Parity,XOM,0.015758629807997103
188,2002-01-02,Risk-Parity,FDX,0.010337833732762234
189,2002-01-02,Risk-Parity,GS,0.006061773865883434
190,2002-01-02,Risk-Parity,GM,0.10848481777687304
191,2002-01-02,Risk-Parity,HAS,0.010300595634872591
192,2002-01-02,Risk-Parity,JBL,0.0034588881943982703
193,2002-01-02,Risk-Parity,KMB,0.017688933370055355
194,2002-01-02,Risk-Parity,KLAC,0.0036999486124128507
195,2002-01-02,Risk-Parity,LOW,0.006340173237794636
196,2002-01-02,Risk-Parity,MKC,0.01869709979355693
197,2002-01-02,Risk-Parity,NEM,0.030183952667289616
198,2002-01-02,Risk-Parity,OLN,0.01119554919928111
199,2002-01-02,Risk-Parity,PH,0.007421995872279213
200,2003-01-02,Simulated (Max Sharpe Ratio),PPG,0.017121277588076737
201,2003-01-02,Simulated (Max Sharpe Ratio),DELL,0.005342027434342629
202,2003-01-02,Simulated (Max Sharpe Ratio),QCOM,0.005168253628365698
203,2003-01-02,Simulated (Max Sharpe Ratio),AMAT,0.006472260823698679
204,2003-01-02,Simulated (Max Sharpe Ratio),MRK,0.009080087342148812
205,2003-01-02,Simulated (Max Sharpe Ratio),AME,0.026176541047497958
206,2003-01-02,Simulated (Max Sharpe Ratio),PG,0.014042918911924551
