Date,Simulated (Max Sharpe Ratio),Equal-Weight,Markowitz,Black-Litterman,Risk-Parity
2022-09-28,980834.0077568828,1022679.6508967126,850344.751947328,1005733.0054498141,1019819.8417842566
2022-09-29,965722.0566909818,1006165.4716353107,837322.4857842593,992405.830459668,1004112.1439327066
2022-09-30,954951.2598456632,992732.4474946869,829378.8389505767,978241.3265922455,990112.4432820916
2022-10-03,984939.1884696946,1023167.0166470859,857893.8139458975,1003605.6634819113,1016919.7439241841
2022-10-04,1016311.6957109642,1057466.141268302,886502.8890524743,1034416.3832532922,1046502.3095626506
2022-10-05,1019383.4448845531,1057015.1855293445,892906.7383082155,1033458.8855982657,1043962.4532581073
2022-10-06,1011913.95524153,1047196.7481250288,890246.8259302055,1022656.6091510414,1032893.1020734567
2022-10-07,991862.0701289249,1025398.5607450161,875150.3677517949,1008751.938990632,1014839.381831132
2022-10-10,985807.7935485902,1017429.9212630645,871406.1793803921,1008935.179647268,1011293.744977977
2022-10-11,982635.7748274787,1012334.5670167365,872043.1434283127,1005038.401105344,1009407.3664388219
2022-10-12,975290.685552359,1006108.1420303166,865140.4514788776,998826.569273072,1003422.5360704043
2022-10-13,999379.3054473805,1033042.598948298,882691.434327986,1024677.6475982973,1027683.5437602771
2022-10-14,980752.4633725119,1013242.3937630493,866451.7590618276,1010722.9466862166,1010644.454806313
2022-10-17,999675.0822480334,1031675.5510879455,884178.3774513808,1029182.6266967874,1028065.2660849069
2022-10-18,1013435.2155543717,1046183.5725409986,893701.5398571055,1045506.6878200078,1042366.8205550725
2022-10-19,1002629.568370197,1040611.2273670533,876254.1007585633,1040549.9678190758,1035463.6563567502
2022-10-20,998124.6824659698,1036913.6945453509,864560.289700232,1035711.6349478348,1031054.974350081
2022-10-21,1023574.7787827544,1063576.67218426,884506.4185303301,1061903.7396963777,1055075.8057930933
2022-10-24,1034408.7602024073,1074700.2804897982,893473.7689984182,1073702.4660883697,1067624.160507374
2022-10-25,1046976.5093606951,1088754.7340474962,909369.1493197018,1087545.9117537595,1080843.555690629
2022-10-26,1050605.8062824272,1093855.765332976,912086.5773284258,1099715.3821980432,1087433.7271479592
2022-10-27,1056422.9607439726,1095568.1442842977,921788.1387917313,1103377.8213786716,1089456.5306341152
2022-10-28,1086224.1009955537,1128493.7998972225,960333.5121297021,1138079.6998909283,1121605.8681406013
2022-10-31,1077387.05923306,1121730.991194115,948832.6651933983,1131393.880789108,1115837.1110277285
2022-11-01,1083819.005428558,1127500.6348527784,955513.6513469529,1133699.7024776652,1118737.6355080025
2022-11-02,1062434.7868835856,1106312.6468253704,931711.331270573,1111492.0116451022,1098970.8895962755
2022-11-03,1059103.8502930717,1099891.6037336532,932366.60272695,1102254.224449089,1092268.980519557
