,Parameter,Parameter Value,Scenario,Model,Ticker,Weight
209,Lookback Window,126.0,Lookback Window=126,Risk-Parity,MA,0.012715991233846822
210,Lookback Window,126.0,Lookback Window=126,Risk-Parity,MU,0.009996506778497123
211,Lookback Window,126.0,Lookback Window=126,Risk-Parity,T,0.03240445979149932
212,Lookback Window,126.0,Lookback Window=126,Risk-Parity,JPM,0.01562544394163219
213,Lookback Window,126.0,Lookback Window=126,Risk-Parity,JNJ,0.028220319871488497
214,Lookback Window,126.0,Lookback Window=126,Risk-Parity,INTC,0.013431398553083472
215,Lookback Window,126.0,Lookback Window=126,Risk-Parity,GE,0.01657086173763515
216,Lookback Window,126.0,Lookback Window=126,Risk-Parity,MS,0.014555694392457243
217,Lookback Window,126.0,Lookback Window=126,Risk-Parity,RTX,0.011262133542679848
218,Lookback Window,126.0,Lookback Window=126,Risk-Parity,TXN,0.013969682039859025
219,Lookback Window,126.0,Lookback Window=126,Risk-Parity,IBM,0.017788808907424042
220,Lookback Window,126.0,Lookback Window=126,Risk-Parity,SPGI,0.028414973784597435
221,Lookback Window,126.0,Lookback Window=126,Risk-Parity,LMT,0.029163296218058982
222,Lookback Window,126.0,Lookback Window=126,Risk-Parity,ADP,0.02618710579795815
223,Lookback Window,126.0,Lookback Window=126,Risk-Parity,COF,0.013513275625817854
224,Lookback Window,126.0,Lookback Window=126,Risk-Parity,WDC,0.010402466047174479
225,Lookback Window,126.0,Lookback Window=126,Risk-Parity,ABT,0.03399308103597481
226,Lookback Window,126.0,Lookback Window=126,Risk-Parity,GILD,0.030123335012783727
227,Lookback Window,126.0,Lookback Window=126,Risk-Parity,UNP,0.015538015115543249
228,Lookback Window,126.0,Lookback Window=126,Risk-Parity,ADI,0.014134731304019658
229,Lookback Window,126.0,Lookback Window=126,Risk-Parity,TMUS,0.02379727191801296
230,Lookback Window,126.0,Lookback Window=126,Risk-Parity,MMM,0.032575978649925945
231,Lookback Window,126.0,Lookback Window=126,Risk-Parity,ADBE,0.024245714129346663
232,Lookback Window,126.0,Lookback Window=126,Risk-Parity,AXP,0.012502274586483508
233,Lookback Window,126.0,Lookback Window=126,Risk-Parity,BA,0.01016375813146287
234,Lookback Window,126.0,Lookback Window=126,Risk-Parity,CVX,0.012702814568046296
235,Lookback Window,126.0,Lookback Window=126,Risk-Parity,CSCO,0.017408069878153003
236,Lookback Window,126.0,Lookback Window=126,Risk-Parity,DD,0.013293429437432084
237,Lookback Window,126.0,Lookback Window=126,Risk-Parity,XOM,0.01246791815798261
238,Lookback Window,126.0,Lookback Window=126,Risk-Parity,FDX,0.017210372193372396
239,Lookback Window,126.0,Lookback Window=126,Risk-Parity,GS,0.017388073622966245
240,Lookback Window,126.0,Lookback Window=126,Risk-Parity,GM,0.01176457062125363
241,Lookback Window,126.0,Lookback Window=126,Risk-Parity,HAS,0.035627087828261086
242,Lookback Window,126.0,Lookback Window=126,Risk-Parity,JBL,0.011098627900088885
243,Lookback Window,126.0,Lookback Window=126,Risk-Parity,KMB,0.05826134914493875
244,Lookback Window,126.0,Lookback Window=126,Risk-Parity,KLAC,0.010612259308636617
245,Lookback Window,126.0,Lookback Window=126,Risk-Parity,LOW,0.02272767467916876
246,Lookback Window,126.0,Lookback Window=126,Risk-Parity,MKC,0.03741773290053881
247,Lookback Window,126.0,Lookback Window=126,Risk-Parity,NEM,0.021290557771196005
248,Lookback Window,126.0,Lookback Window=126,Risk-Parity,OLN,0.008015080410740899
249,Lookback Window,126.0,Lookback Window=126,Risk-Parity,PH,0.011391029839565322
250,Lookback Window,252.0,Lookback Window=252,Simulated (Max Sharpe Ratio),PPG,0.09793396790293253
251,Lookback Window,252.0,Lookback Window=252,Simulated (Max Sharpe Ratio),DELL,0.12043812079169251
252,Lookback Window,252.0,Lookback Window=252,Simulated (Max Sharpe Ratio),QCOM,0.013808388178345019
253,Lookback Window,252.0,Lookback Window=252,Simulated (Max Sharpe Ratio),AMAT,0.03130184936147195
254,Lookback Window,252.0,Lookback Window=252,Simulated (Max Sharpe Ratio),MRK,0.012006359208828997
255,Lookback Window,252.0,Lookback Window=252,Simulated (Max Sharpe Ratio),AME,5.3620465659333526e-05
256,Lookback Window,252.0,Lookback Window=252,Simulated (Max Sharpe Ratio),PG,0.019780749981824126
257,Lookback Window,252.0,Lookback Window=252,Simulated (Max Sharpe Ratio),CL,0.0013910721234982716
258,Lookback Window,252.0,Lookback Window=252,Simulated (Max Sharpe Ratio),V,0.02939737826009112
259,Lookback Window,252.0,Lookback Window=252,Simulated (Max Sharpe Ratio),MA,0.011278788008326048
260,Lookback Window,252.0,Lookback Window=252,Simulated (Max Sharpe Ratio),MU,0.024053886774058356
261,Lookback Window,252.0,Lookback Window=252,Simulated (Max Sharpe Ratio),T,0.028303700268505105
262,Lookback Window,252.0,Lookback Window=252,Simulated (Max Sharpe Ratio),JPM,0.01729764359393517
263,Lookback Window,252.0,Lookback Window=252,Simulated (Max Sharpe Ratio),JNJ,0.0007894275347382215
264,Lookback Window,252.0,Lookback Window=252,Simulated (Max Sharpe Ratio),INTC,0.004783197387935479
265,Lookback Window,252.0,Lookback Window=252,Simulated (Max Sharpe Ratio),GE,0.011209344678256603
266,Lookback Window,252.0,Lookback Window=252,Simulated (Max Sharpe Ratio),MS,0.006322975800402489
267,Lookback Window,252.0,Lookback Window=252,Simulated (Max Sharpe Ratio),RTX,0.007982241246527431
268,Lookback Window,252.0,Lookback Window=252,Simulated (Max Sharpe Ratio),TXN,0.03695324088895369
269,Lookback Window,252.0,Lookback Window=252,Simulated (Max Sharpe Ratio),IBM,0.006685160756396331
270,Lookback Window,252.0,Lookback Window=252,Simulated (Max Sharpe Ratio),SPGI,0.030117457718231756
271,Lookback Window,252.0,Lookback Window=252,Simulated (Max Sharpe Ratio),LMT,0.0011055812811643301
272,Lookback Window,252.0,Lookback Window=252,Simulated (Max Sharpe Ratio),ADP,0.02417232021403687
273,Lookback Window,252.0,Lookback Window=252,Simulated (Max Sharpe Ratio),COF,0.011585119076693478
274,Lookback Window,252.0,Lookback Window=252,Simulated (Max Sharpe Ratio),WDC,0.003710927007800679
275,Lookback Window,252.0,Lookback Window=252,Simulated (Max Sharpe Ratio),ABT,0.015126906222119766
276,Lookback Window,252.0,Lookback Window=252,Simulated (Max Sharpe Ratio),GILD,0.004044080473256699
277,Lookback Window,252.0,Lookback Window=252,Simulated (Max Sharpe Ratio),UNP,0.011019676434964484
278,Lookback Window,252.0,Lookback Window=252,Simulated (Max Sharpe Ratio),ADI,0.0019074112262313812
279,Lookback Window,252.0,Lookback Window=252,Simulated (Max Sharpe Ratio),TMUS,0.004569280534494871
280,Lookback Window,252.0,Lookback Window=252,Simulated (Max Sharpe Ratio),MMM,0.0003856427358022111
281,Lookback Window,252.0,Lookback Window=252,Simulated (Max Sharpe Ratio),ADBE,0.012814304137841502
282,Lookback Window,252.0,Lookback Window=252,Simulated (Max Sharpe Ratio),AXP,0.015489429092305166
283,Lookback Window,252.0,Lookback Window=252,Simulated (Max Sharpe Ratio),BA,0.004639536251099244
284,Lookback Window,252.0,Lookback Window=252,Simulated (Max Sharpe Ratio),CVX,0.0028063496362366828
285,Lookback Window,252.0,Lookback Window=252,Simulated (Max Sharpe Ratio),CSCO,0.010078926643612453
286,Lookback Window,252.0,Lookback Window=252,Simulated (Max Sharpe Ratio),DD,0.008112146492630975
287,Lookback Window,252.0,Lookback Window=252,Simulated (Max Sharpe Ratio),XOM,0.0029811619414676902
288,Lookback Window,252.0,Lookback Window=252,Simulated (Max Sharpe Ratio),FDX,0.035810252904393325
289,Lookback Window,252.0,Lookback Window=252,Simulated (Max Sharpe Ratio),GS,0.030009347816775712
290,Lookback Window,252.0,Lookback Window=252,Simulated (Max Sharpe Ratio),GM,0.08106293645418537
291,Lookback Window,252.0,Lookback Window=252,Simulated (Max Sharpe Ratio),HAS,0.029843719216715848
292,Lookback Window,252.0,Lookback Window=252,Simulated (Max Sharpe Ratio),JBL,0.006355295313899378
293,Lookback Window,252.0,Lookback Window=252,Simulated (Max Sharpe Ratio),KMB,0.019601426747478556
294,Lookback Window,252.0,Lookback Window=252,Simulated (Max Sharpe Ratio),KLAC,0.019728983018253456
295,Lookback Window,252.0,Lookback Window=252,Simulated (Max Sharpe Ratio),LOW,0.005575063584810186
296,Lookback Window,252.0,Lookback Window=252,Simulated (Max Sharpe Ratio),MKC,0.006982838507688871
297,Lookback Window,252.0,Lookback Window=252,Simulated (Max Sharpe Ratio),NEM,0.009791101485250125
298,Lookback Window,252.0,Lookback Window=252,Simulated (Max Sharpe Ratio),OLN,0.05890377452248923
299,Lookback Window,252.0,Lookback Window=252,Simulated (Max Sharpe Ratio),PH,0.049897890095690775
300,Lookback Window,252.0,Lookback Window=252,Equal-Weight,PPG,0.02
301,Lookback Window,252.0,Lookback Window=252,Equal-Weight,DELL,0.02
302,Lookback Window,252.0,Lookback Window=252,Equal-Weight,QCOM,0.02
303,Lookback Window,252.0,Lookback Window=252,Equal-Weight,AMAT,0.02
304,Lookback Window,252.0,Lookback Window=252,Equal-Weight,MRK,0.02
305,Lookback Window,252.0,Lookback Window=252,Equal-Weight,AME,0.02
306,Lookback Window,252.0,Lookback Window=252,Equal-Weight,PG,0.02
307,Lookback Window,252.0,Lookback Window=252,Equal-Weight,CL,0.02
308,Lookback Window,252.0,Lookback Window=252,Equal-Weight,V,0.02
309,Lookback Window,252.0,Lookback Window=252,Equal-Weight,MA,0.02
310,Lookback Window,252.0,Lookback Window=252,Equal-Weight,MU,0.02
311,Lookback Window,252.0,Lookback Window=252,Equal-Weight,T,0.02
312,Lookback Window,252.0,Lookback Window=252,Equal-Weight,JPM,0.02
313,Lookback Window,252.0,Lookback Window=252,Equal-Weight,JNJ,0.02
314,Lookback Window,252.0,Lookback Window=252,Equal-Weight,INTC,0.02
315,Lookback Window,252.0,Lookback Window=252,Equal-Weight,GE,0.02
316,Lookback Window,252.0,Lookback Window=252,Equal-Weight,MS,0.02
317,Lookback Window,252.0,Lookback Window=252,Equal-Weight,RTX,0.02
318,Lookback Window,252.0,Lookback Window=252,Equal-Weight,TXN,0.02
319,Lookback Window,252.0,Lookback Window=252,Equal-Weight,IBM,0.02
320,Lookback Window,252.0,Lookback Window=252,Equal-Weight,SPGI,0.02
321,Lookback Window,252.0,Lookback Window=252,Equal-Weight,LMT,0.02
322,Lookback Window,252.0,Lookback Window=252,Equal-Weight,ADP,0.02
323,Lookback Window,252.0,Lookback Window=252,Equal-Weight,COF,0.02
324,Lookback Window,252.0,Lookback Window=252,Equal-Weight,WDC,0.02
