,Model,Ticker,Mean,Std,Minimum,Maximum,Range,Coefficient of Variation
66,Equal-Weight,GILD,0.02,0.0,0.02,0.02,0.0,0.0
67,Equal-Weight,GM,0.02,0.0,0.02,0.02,0.0,0.0
68,Equal-Weight,GS,0.02,0.0,0.02,0.02,0.0,0.0
69,Equal-Weight,HAS,0.02,0.0,0.02,0.02,0.0,0.0
70,Equal-Weight,IBM,0.02,0.0,0.02,0.02,0.0,0.0
71,Equal-Weight,INTC,0.02,0.0,0.02,0.02,0.0,0.0
72,Equal-Weight,JBL,0.02,0.0,0.02,0.02,0.0,0.0
73,Equal-Weight,JNJ,0.02,0.0,0.02,0.02,0.0,0.0
74,Equal-Weight,JPM,0.02,0.0,0.02,0.02,0.0,0.0
75,Equal-Weight,KLAC,0.02,0.0,0.02,0.02,0.0,0.0
76,Equal-Weight,KMB,0.02,0.0,0.02,0.02,0.0,0.0
77,Equal-Weight,LMT,0.02,0.0,0.02,0.02,0.0,0.0
78,Equal-Weight,LOW,0.02,0.0,0.02,0.02,0.0,0.0
79,Equal-Weight,MA,0.02,0.0,0.02,0.02,0.0,0.0
80,Equal-Weight,MKC,0.02,0.0,0.02,0.02,0.0,0.0
81,Equal-Weight,MMM,0.02,0.0,0.02,0.02,0.0,0.0
82,Equal-Weight,MRK,0.02,0.0,0.02,0.02,0.0,0.0
83,Equal-Weight,MS,0.02,0.0,0.02,0.02,0.0,0.0
84,Equal-Weight,MU,0.02,0.0,0.02,0.02,0.0,0.0
85,Equal-Weight,NEM,0.02,0.0,0.02,0.02,0.0,0.0
86,Equal-Weight,OLN,0.02,0.0,0.02,0.02,0.0,0.0
87,Equal-Weight,PG,0.02,0.0,0.02,0.02,0.0,0.0
88,Equal-Weight,PH,0.02,0.0,0.02,0.02,0.0,0.0
89,Equal-Weight,PPG,0.02,0.0,0.02,0.02,0.0,0.0
90,Equal-Weight,QCOM,0.02,0.0,0.02,0.02,0.0,0.0
91,Equal-Weight,RTX,0.02,0.0,0.02,0.02,0.0,0.0
92,Equal-Weight,SPGI,0.02,0.0,0.02,0.02,0.0,0.0
