Date,ABT,ADBE,ADI,ADP,AMAT,AME,AXP,BA,CL,COF,CSCO,CVX,DD,DELL,FDX,GE,GILD,GM,GS,HAS,IBM,INTC,JBL,JNJ,JPM,KLAC,KMB,LMT,LOW,MA,MKC,MMM,MRK,MS,MU,NEM,OLN,PG,PH,PPG,QCOM,RTX,SPGI,SPY,T,TMUS,TXN,UNP,V,WDC,XOM,^GSPC
2017-05-02,-1.104286670869076,5.9768365893422715,-5.219771540092835,2.0694773286041177,4.0189911360509525,6.100452050560063,0.5938216780749508,3.1552207446428886,-3.0550523678207213,-2.334213609788572,2.504531813185494,-1.5571652908434965,-1.0635437836028363,3.743040666716494,-1.9750363557449568,-2.936685704058042,1.0772733055527233,-3.652171935730384,-0.9256277920026227,0.3194909116553565,-5.875758510879207,1.8441066152962517,0.6957205785521431,-0.5855099390871481,-0.5512660653529319,2.2666710779536063,-3.0261707516845844,0.7418196732729281,4.681153322500131,5.38958216988225,2.593794997268517,3.9764174469711064,-1.8516310836797785,0.9473800528680338,-1.5800656790285765,0.1925614443051382,-1.242316546516527,-3.3729471101827366,-0.21152583438628755,3.380213198288015,-5.371488996375797,8.072046056404632,3.2222770744353246,2.165259427838499,-5.8781099255789915,2.69945721914776,-0.64869091333026,3.456280360138164,5.295642546653494,2.59076903518656,0.10813231949607698,2.0882223155901207
2017-05-03,-0.9689106729934879,6.678061180506391,-4.58180613723052,-1.8045183444375632,3.7982278102304585,7.722124187327594,0.4719115814737385,3.2371622969773126,-2.800171832207242,-1.8375131310090518,3.3908774641659525,-0.7531681962450499,-1.4143479374947288,2.9562490988988204,-1.7297537650764834,-2.244977753476317,0.21400508981743946,-1.3489033325346975,-0.48275887705623965,0.1370957801625943,-6.255194648101571,2.1979786004564317,0.40523143861538363,-0.9725622411547763,0.07086338431536116,1.7270063631870647,-2.9293736070523564,0.3923265751930169,5.149542607305652,4.764357013374635,1.9545272583945281,5.291497962094986,0.35005422093837063,1.257845915322353,-0.8349962777648681,-1.749918470112862,-1.978520491057043,-2.9111073162279415,0.11840615947373517,3.1668113135183087,-2.3418446055854454,9.52133349020171,4.336056543916239,2.2588701270794322,-7.113048323727086,1.9903006276143451,-0.003057889115496872,3.6206207332282254,4.459226898029794,3.681033490692352,1.0257812728846656,2.156079848776706
2017-05-04,1.3529912134497235,5.733691998644686,-4.52524453015109,-1.0316016402383212,3.7333339640141725,8.174393989336876,0.3622154330253559,2.1711895566715325,-1.709608205268699,-1.5280615970967437,2.7187638588954806,-2.713653041485903,-1.892522198493413,2.7310993817327116,-1.5908964895748343,-2.890270017388288,1.5024321404621535,-2.2187538700648672,-0.48650245974283596,1.2033583199136508,-6.051883313291404,1.7062926549370894,0.8176869343559157,-0.48542488029048947,-0.07281813979301036,2.088143629108118,-2.3764828398291424,0.40196402917255664,5.734103444348286,5.427554779395646,2.6252495740535413,6.887716501862302,-0.49904603673614295,1.2622349603921024,-1.0781359878593928,-2.859288189201692,-2.9302248007971103,-3.16655192411983,-0.052483528743722724,3.920845075000456,-2.013566789067364,9.262707759562177,5.58665004813829,2.3478387718675617,-8.545046805977274,1.986490243315442,-0.6281308060415735,2.1983693089347134,5.867411842920272,3.2197827973695143,-0.9857536452348878,2.1599665422317784
2017-05-05,2.2313523029981326,6.267576625272976,-3.53268855328117,-1.1730352378146012,5.177464268524437,7.981914519930616,0.47291977561117066,3.9297292405736233,-1.6870999838642176,-1.0169543772293095,5.463703300184376,-1.919263379118506,-0.3160432874878979,3.9636421878330315,-1.031176818933309,-2.635552422521493,1.841257553367621,-0.3519688220285227,-0.06641509311434173,2.372857833019127,-6.611276888536716,1.7671281949172277,2.2310379763643606,-0.9033470454862516,0.7200587785297405,2.502344709005763,-1.8120870775747517,2.2713450776281046,6.437206397530893,4.806288205588503,0.02320551993293329,6.747426857731647,0.765204692285009,2.0364692455003057,0.045099669193864704,-2.259101857255071,-1.8554438473781887,-3.176144174632841,-0.10411045819436508,4.219118432554749,-1.7447977624175848,10.760592054425866,5.337238308168951,3.5242203751715206,-5.553774737083456,3.1289964064468507,0.1195740432217914,2.7801562683581396,4.4903448634983985,4.076418156344767,-0.6626232869372772,3.404365379436503
2017-05-08,2.5798650648459653,6.279764995005753,-3.2055695186907798,-2.2350021802779505,4.385781750617324,6.916563488754791,0.26529037897697044,4.251803714460749,-1.19971422439096,-1.1698011485595026,4.68556885631737,-1.7195822550214237,-1.0711043143331358,4.131262770102353,-1.5007447294961291,-3.0168973087592414,1.0159438480675709,-0.272352728480697,-0.7018476621572951,2.1973609599473924,-6.6711625106354155,1.5881549129053127,0.687974320698858,-1.287325144942359,0.5701444000040365,2.094190377565753,-1.6289942800746422,2.0242878525780768,5.939598358589598,3.584330936531492,0.5433656720446388,6.365761508722158,1.454796511073797,1.521311912643666,-0.7130264850722393,-2.131348928017744,-2.3161818143696635,-2.495343976119109,0.010616417214800557,2.5351198667687544,-2.184444412863157,10.427495335736312,4.93354478177358,3.032123468311029,-4.922139774989316,3.0536044768636184,-0.04899753688682859,2.0660600268773894,4.125214071683894,2.977071134959302,-0.10698271630578052,3.0788203985217115
2017-05-09,2.2449008250770723,6.772931446626895,-0.9859733256308962,-2.254383573086165,4.5304615950304825,7.466163145322705,0.5436450584757793,3.980946093095749,-2.1330918541401047,-0.6352454057976894,3.3584921563837358,-2.4388900811238288,-1.1878951654720982,2.874328736079352,-1.4969128357861707,-3.7388479237386245,1.3903109515907348,1.1578090447969338,-0.8189691478137753,3.3135621276011697,-6.944747472679445,1.2537499387120534,0.23328085998007997,-1.2208176772833685,0.5321613259017145,2.060498877391021,-1.8333606536029499,1.432005908373963,5.4574349368921755,3.581663077041157,0.22891588358058987,5.669084326803315,0.3264442247834088,1.460710713855922,0.5516685486318212,-2.2188325789718495,-2.5038142389666214,-2.478301667738707,-0.2725586095915195,1.5883059851215804,-1.26948480291054,10.167885484674343,5.183676278750415,3.050696667697994,-5.6962160467390905,2.0055280714725234,-0.4401254594267717,2.0532125869382343,4.861827289182642,1.9344300600232744,-0.5343760626964752,3.041786309331112
2017-05-10,2.4056649888423163,7.544616070277304,-0.1167005832976045,-2.4467800109192037,5.6076938842649025,6.467483896654058,0.8624339803679458,3.374359011891601,-2.0904040970791185,-0.5693902063274707,2.570854467145081,-1.778755332381777,-1.378183855197118,2.505118091939872,-1.8722390589720315,-4.581333111661723,0.6938433695276159,0.5952264481159371,-0.7891182285877566,3.623773840734076,-6.956576118835831,0.9957678867787775,1.0012491584524603,-1.0946462298721613,1.2944334986901183,2.1375942763683398,-1.5910232833476798,1.0670937427843357,5.353508413434826,3.7135096232229765,0.32986025351102255,4.726153056368271,2.43273580329732,1.8455775108803856,2.6862851504639047,-2.382322685049736,-0.19263380944198483,-2.686108971833497,-0.07275558788678935,1.7741673417708357,-1.2886794357795264,9.553659869291568,5.9913084426878065,3.250318922817852,-4.504647540512545,2.172881735437518,0.8189122912674826,1.216981954508529,5.041095472504369,2.4454463090644207,-0.52703847518232,3.1180633652962264
2017-05-11,0.5946148706112835,8.117137961548703,0.3672137538978211,-2.5066342356605547,7.829409814976855,6.362309493424013,0.5375380983314161,3.2529980566933303,-2.30194429297186,-1.4400241908082674,2.5031300626180077,-1.67944306871659,-0.5160654327460349,1.1888222725155788,-0.6329438031919433,-3.96992452724944,0.9425963660799306,0.4584096589984619,-0.5610324532401004,3.0982418900303728,-6.979260991810945,0.4916750549718366,0.8975911722185809,-0.7042327136978737,1.2015236044147402,2.5665514817118336,-2.6441453072411347,0.7380265232814186,3.113962943217705,3.8032634994835597,0.5772423064467664,4.547398347475007,3.1453808082533135,1.9917844892549785,3.033523040479338,-2.318602374068853,0.2741452862365294,-3.4586200302736723,-0.27833523011975986,1.3114833200641873,-0.7478075909387412,9.529814568037148,5.886437784242527,3.0899964046932364,-4.360883732075617,1.9418062909015514,1.3883266526208062,1.727294648200427,4.809510965324355,1.901991478151354,0.7473481782899805,2.9772657771912723
2017-05-12,0.9706760578692223,10.131440291823266,1.479748135056037,-2.0824127490721485,8.808348600982043,7.733835008615306,0.6392933491319667,4.476744467345346,-3.2604901474009123,-1.5076767541383014,3.048106949652135,-1.8413708554961206,0.21096051387602813,1.2898163304292534,2.512439124818228,-4.583314360646449,-0.12794008247297411,-0.5175457489090382,-0.5556948297787769,2.998221341780151,-7.149882623963392,0.39577410776586547,1.1725830485924946,-1.2970567259655528,1.2778686341775405,2.606637678215858,-3.0175561962426536,1.1075788487277567,3.9967097636330506,4.96124045981236,-0.5789546324889605,4.704341051364418,0.8677575793321466,2.532363617684191,3.8136663033843665,-1.8181146082985546,1.0551333854663654,-4.129668455157916,0.8595322383407479,1.813131875464733,3.4279763412435966,10.824430193366439,5.57104164565105,3.642520047607973,-4.931009791202576,1.6917021886665518,2.5584829158275233,3.7165232856385138,5.928031937708509,2.939037458886382,0.5072685124042668,3.4410054847471834
2017-05-15,3.0140631650742553,11.973119626835443,2.8612626360644273,-1.1430682586267347,10.532797307653896,8.728889154910261,1.7751216270168786,4.227524371437235,-2.1811290431795567,0.43493466320273944,5.376247144925178,0.6298241929021383,1.4548926336588455,2.5562416101668646,5.20120966254653,-4.267685150104806,-0.6259526713172194,0.9431336849285838,0.5242413757048162,3.5417807979519824,-6.10438769180396,1.3376015750658667,2.9488801523577726,1.2887055953474607,2.476206771380248,3.073823142463928,-2.7553199704285,1.7144282518604714,5.782928312314243,6.04602685733438,1.5712783455294659,6.351135728123279,1.4977704156653848,3.9217384767311483,3.554158234863437,-0.8320116709489368,2.1757275750804865,-3.6063976541763094,1.5837277689542273,2.8878255723715083,4.986661671219032,11.299502989638103,7.163402542411473,6.060729099532752,-4.022127523155937,1.7080167502717687,3.9616508236271866,5.008394559908694,6.307940873258948,3.010116522722484,2.8031772317288746,5.901326471338796
