,Parameter,Parameter Value,Scenario,Model,Calibration End,Validation Start,Validation End,Annualized Return,Gross Return,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Maximum Drawdown,Calmar Ratio,VaR 95%,CVaR 95%,Terminal Growth,Initial Turnover,Initial Transaction Cost Rate,HHI,Effective Holdings,Active Holdings (>1%),Maximum Weight,Validation Days
27,Maximum Weight,0.4,Maximum Weight=0.4,Markowitz,2021-04-28,2021-04-29,2026-08-31,0.0010534733918399208,0.2881138323635586,0.28824473752935337,-0.16980891664388365,-0.26807130492514997,-0.5460263184730372,0.0019293454476442813,-0.027186799217955415,-0.03775565777282802,1.005618758946804,1.0,0.001,0.21577691740000002,4.634416007279563,7,0.33772,1341
28,Maximum Weight,0.4,Maximum Weight=0.4,Black-Litterman,2021-04-28,2021-04-29,2026-08-31,-0.09398901059735987,0.16581713039630896,0.17335820851277095,-0.8305866323413954,-1.162741562332007,-0.5075794149825061,-0.18517104481197139,-0.017481748900858185,-0.025456755832765167,0.5914101834217971,0.9999999999999999,0.0009999999999999998,0.09542058273852219,10.479919230217513,16,0.1594868102637947,1341
29,Maximum Weight,0.4,Maximum Weight=0.4,Risk-Parity,2021-04-28,2021-04-29,2026-08-31,-0.10546339439425279,0.15105237218959133,0.14429233893104948,-1.0774196020797848,-1.5552275067718973,-0.5383779531615456,-0.19589099771811694,-0.014508518895471778,-0.020637181592408984,0.5526279392171244,1.0,0.001,0.02477542063880252,40.36258413444775,48,0.056790263524080044,1341
30,Risk-Free Rate,0.02,Risk-Free Rate=0.02,Simulated (Max Sharpe Ratio),2021-04-28,2021-04-29,2026-08-31,-0.049551337943701035,0.22299767303932638,0.21584985261161624,-0.3222209193204612,-0.47970112144844784,-0.5170202634526908,-0.09584022415832287,-0.02133197118298058,-0.0304194271242093,0.7630429080118949,1.0000000000000002,0.0010000000000000002,0.060236240558644426,16.601301653718348,29,0.18549765443470378,1341
31,Risk-Free Rate,0.02,Risk-Free Rate=0.02,Equal-Weight,2021-04-28,2021-04-29,2026-08-31,-0.08363099259420281,0.1791453956892013,0.16815974212349222,-0.6162651731357845,-0.8912888883473445,-0.5375993442041347,-0.1555637920615596,-0.016694938738641474,-0.023849392082636048,0.6282902246158959,1.0,0.001,0.020000000000000004,49.99999999999999,50,0.02,1341
32,Risk-Free Rate,0.02,Risk-Free Rate=0.02,Markowitz,2021-04-28,2021-04-29,2026-08-31,-0.010520081503372913,0.2732246766601565,0.27812773380565287,-0.10973404588518818,-0.17230878198645266,-0.5498220796778451,-0.01913361047547763,-0.026787907216911933,-0.036530134979121755,0.9452759242195286,1.00001,0.0010000100000000002,0.2021572925,4.946643218423595,7,0.3,1341
33,Risk-Free Rate,0.02,Risk-Free Rate=0.02,Black-Litterman,2021-04-28,2021-04-29,2026-08-31,-0.11446137331348605,0.1394770227839215,0.13791148327391473,-0.9749831567428203,-1.3736701347438847,-0.5400090087200125,-0.21196197001378686,-0.013449626904442846,-0.020149801583134057,0.5236830692320759,1.00001,0.0010000100000000002,0.07224363550000001,13.84204979551451,19,0.13209,1341
34,Risk-Free Rate,0.02,Risk-Free Rate=0.02,Risk-Parity,2021-04-28,2021-04-29,2026-08-31,-0.10546339439425279,0.15105237218959133,0.14429233893104948,-0.8695083559093586,-1.2551129660792122,-0.5383779531615456,-0.19589099771811694,-0.014508518895471778,-0.020637181592408984,0.5526279392171244,1.0,0.001,0.02477542063880252,40.36258413444775,48,0.056790263524080044,1341
35,Risk-Free Rate,0.05,Risk-Free Rate=0.05,Simulated (Max Sharpe Ratio),2021-04-28,2021-04-29,2026-08-31,-0.07511692782132973,0.19010093891949276,0.20666102945971915,-0.6054210034104015,-0.9121108639481782,-0.5727042760452636,-0.13116180717217635,-0.02040468106638993,-0.028207417203827172,0.6599841295839789,0.9999999999999998,0.0009999999999999998,0.04937308225328782,20.253951229334252,29,0.12043812079169251,1341
36,Risk-Free Rate,0.05,Risk-Free Rate=0.05,Equal-Weight,2021-04-28,2021-04-29,2026-08-31,-0.08363099259420281,0.1791453956892013,0.16815974212349222,-0.7946669690779355,-1.1493069385567383,-0.5375993442041347,-0.1555637920615596,-0.016694938738641474,-0.023849392082636048,0.6282902246158959,1.0,0.001,0.020000000000000004,49.99999999999999,50,0.02,1341
