Ticker,Simple Mean (Daily) Returns,Log Mean (Daily) Returns,Median Returns,Variance of Returns,Standard Deviation of Returns,Minimum Returns,Maximum Returns,(Simple) Annual Returns,Daily Volatility,Annual Volatility,Skewness,Kurtosis
GE,0.0003608554719296052,0.00014234662136420267,0.0,0.0004376137008068525,0.02091921845592833,-0.15159236922404595,0.19703111640724358,0.0909355789262605,0.02091921845592833,0.33208229793731375,0.21731865502673622,7.416800355497772
GILD,0.0010028258783912163,0.0007155678436734853,0.000621020020000751,0.0005770941455614494,0.024022783884501176,-0.14817813858998885,0.24748119639455646,0.2527121213545865,0.024022783884501176,0.3813498717470418,0.45314036994861573,8.455798031516457
GM,0.0003214004866935266,0.00018258844764008195,0.0,0.00027814299498648794,0.01667761958393607,-0.173228064230866,0.19943155170690519,0.0809929226467687,0.01667761958393607,0.26474900327781214,0.33371351804296606,13.386312920385029
GS,0.0006733482871540809,0.0004215726407107724,0.0005080723265503684,0.0005069801990224228,0.022516220797958585,-0.18959638871872575,0.2646781804314817,0.1696837683628284,0.022516220797958585,0.3574339241785124,0.676669035577847,13.738704396851317
HAS,0.0005573733735122328,0.00034845796481057696,0.00045602396148558544,0.00041588740754124986,0.02039331771785184,-0.2431370130809647,0.21669576473352037,0.14045809012508265,0.02039331771785184,0.32373388253377955,-0.10344506328315907,14.295935039809935
IBM,0.00035984091834015386,0.00021250752053390715,0.0005034035105220269,0.00029251474605288187,0.017103062475851565,-0.25207595513952263,0.12964166222653373,0.09067991142171877,0.017103062475851565,0.2715026998122233,-0.4245769140570215,15.3482771044861
INTC,0.0005303128920749795,0.00019199220791016683,0.000406466818722806,0.000675943653081027,0.025998916382823093,-0.2605851455985698,0.2359988383395475,0.13363884880289484,0.025998916382823093,0.4127200026366772,0.15383759215727041,10.034027190891848
JBL,0.0008395834300133897,0.00036225937467057134,0.0009692318643138575,0.0009553455233121213,0.03090866421106097,-0.24494404051031415,0.36482901630844466,0.2115750243633742,0.03090866421106097,0.49065983315801853,0.28267792904473105,10.381520087460022
JNJ,0.000438004267124703,0.0003648413914094951,0.0003145337569425699,0.00014590171889752572,0.012078978387989844,-0.15845601186066616,0.12229224108536507,0.11037707531542515,0.012078978387989844,0.19174783743806992,-0.18433689450292587,12.008838052557186
JPM,0.0006757623217783027,0.0004106490689978142,0.00043953713519084836,0.0005345046191376266,0.023119355941237346,-0.20727428116145152,0.2509668617739902,0.17029210508813228,0.023119355941237346,0.36700839775498584,0.7925513503494882,15.993438292342775
KLAC,0.0010345789780677557,0.0006149039630904901,0.0010323813439471197,0.0008433044587323768,0.029039704866481972,-0.1698720105678727,0.25091548518065343,0.2607139024730744,0.029039704866481972,0.4609910233405407,0.378460687863507,5.8508620717465
KMB,0.0003030638571987158,0.0002157837639205679,0.00039000327373395205,0.00017391654668443864,0.013187742289127379,-0.14568535403852623,0.09704866304541748,0.07637209201407638,0.013187742289127379,0.20934891870864425,-0.31635080592494436,9.85705070987757
LMT,0.0007218300346118435,0.000595712518076484,0.0005539788793850198,0.00025207947151493435,0.015877010786509355,-0.1276159222588612,0.14692091517243488,0.18190116872218456,0.015877010786509355,0.25203973262516266,0.12947513046432063,9.047799916103148
LOW,0.0006597583029223815,0.0004560909777575046,0.0003661617149316454,0.0004072353544234835,0.02018007320163838,-0.24769418422889355,0.1843567121830112,0.16625909233644015,0.02018007320163838,0.3203487307836849,0.1427407395470958,9.043697535108556
MA,0.0008947910869950145,0.0007388866874279621,0.0,0.00031376796947535715,0.017713496816703277,-0.12725488388069495,0.20846283293556778,0.22548735392274366,0.017713496816703277,0.2811930445579869,0.8057121212885083,14.758808392225726
MKC,0.0004885401760780006,0.0003877595631915985,0.0006001394531828241,0.00020151907733956877,0.014195741521300279,-0.11833797052828887,0.1575174283156413,0.12311212437165614,0.014195741521300279,0.22535041044908555,0.1374900150627448,11.6708163728655
MMM,0.0004492353798171632,0.0003278844285038345,0.0004637714520169256,0.00024350017566666297,0.01560449216304917,-0.12945004031296492,0.22990635652491487,0.11320731571392513,0.01560449216304917,0.24771363359330684,0.47093535565313865,13.097111708877412
MRK,0.00040620199750071383,0.00026593268141278706,0.00031843418917998356,0.0002779810831645441,0.0166727647126847,-0.2678057010315571,0.13032984109007661,0.10236290337017989,0.0166727647126847,0.2646719345859419,-0.5721958384825694,17.41800563771711
MS,0.0006916846232443545,0.0002814399736763338,0.0004883442976060248,0.000860478319004236,0.02933391073491968,-0.2589287414934166,0.8698353354176951,0.17430452505757732,0.02933391073491968,0.46566139671339246,4.169717358566256,127.55083837516958
MU,0.0011275118524380894,0.00048538528837780955,0.0,0.0012862808287658445,0.03586475747535238,-0.23042155265757325,0.23443213896770132,0.2841329868143985,0.03586475747535238,0.5693353746685629,0.19526428272559437,4.043114064489147
NEM,0.0006219479418027551,0.00031046551714312656,0.00022221828597823734,0.0006252493072572314,0.025004985648010906,-0.14703846262421438,0.2517392408611234,0.15673088133429428,0.025004985648010906,0.3969418413682568,0.32430627050723004,5.459176640912283
OLN,0.0004884443966748281,0.00013324039490594133,0.0005130130004035172,0.0007100020792670285,0.026645864205670427,-0.208588956452345,0.26659478412538173,0.12308798796205667,0.026645864205670427,0.4229899809396095,0.13465611707631492,7.7481511304153
PG,0.00034141894758573087,0.0002540038346564242,0.00039738418716162016,0.00017115236896726794,0.013082521506470683,-0.30235870242479457,0.12009041195487424,0.08603757479160418,0.013082521506470683,0.20767859056665308,-1.8291828666764967,50.02681135488659
PH,0.0007780739811958816,0.0005721619347957264,0.0005445460792660173,0.0004117846738327481,0.020292478257540356,-0.16688343978520348,0.18419426768625202,0.19607464326136217,0.020292478257540356,0.3221331057278226,0.12147773278109252,6.574310315681849
PPG,0.000450912706173772,0.00029366903904071606,0.0006907447083527307,0.00031453641979045915,0.017735174647870236,-0.12496045736364014,0.14834756120934722,0.11363000195579054,0.017735174647870236,0.281537169459373,0.09541328183046051,5.805571121525311
QCOM,0.0005258657534344375,0.00016880066159485609,0.0002726106768488057,0.0007161198958784982,0.026760416586415432,-0.16847806847444935,0.23207410614178792,0.13251816986547824,0.026760416586415432,0.4248084436088595,0.30227934250267646,6.803800759035301
RTX,0.0005873095876048867,0.00043500298561463335,0.000547661819604417,0.0003023787540093412,0.017389041204429335,-0.26132920423791905,0.15757159100221152,0.14800201607643143,0.017389041204429335,0.2760424713886506,-0.3841568569538372,15.76669391973118
