,Model,Ticker,Mean Weight,Average Active Weight,Annualized Asset Return,Annualized Contribution,Total Arithmetic Contribution,Contribution Share of Arithmetic Gross Return,Positive Contribution Days,Negative Contribution Days,Contribution Volatility
32,Black-Litterman,MRK,0.028173366938474113,0.028173366938474113,0.17499249023481908,0.004145904810823596,0.023361844568926614,0.022268629564559446,525,474,0.008242650499311952
33,Black-Litterman,MS,0.0,0.0,0.27419798112601446,0.0,0.0,0.0,0,0,0.0
34,Black-Litterman,MU,0.08721133985764205,0.08721133985764205,0.6097030032572496,0.04279070824200922,0.24112224485576628,0.22983895533702564,742,678,0.05564156812400545
35,Black-Litterman,NEM,0.008690807934669564,0.008690807934669564,0.22276446057833088,-0.000791591422493736,-0.004460554841036132,-0.004251823656919391,484,515,0.0036829862514241468
36,Black-Litterman,OLN,0.0,0.0,0.06795161065829264,0.0,0.0,0.0,0,0,0.0
37,Black-Litterman,PG,0.0004398576993140644,0.0004398576993140644,0.051079331206517094,-5.408342164022465e-05,-0.0003047557886076151,-0.00029049477425189375,128,121,0.000206382364998764
38,Black-Litterman,PH,0.029875886554737805,0.029875886554737805,0.28471362433957287,0.012040166925838522,0.06784538505829643,0.06467056756030443,260,241,0.016836001469834674
39,Black-Litterman,PPG,0.0,0.0,0.017964673846852946,0.0,0.0,0.0,0,0,0.0
40,Black-Litterman,QCOM,0.0037123901176516353,0.0037123901176516353,0.12992604983380615,-0.001906905069383686,-0.010745258724304898,-0.010242435497801553,120,131,0.004162909060438964
41,Black-Litterman,RTX,0.0792346106826404,0.0792346106826404,0.24860670863687082,0.014165457764979844,0.07982123026298166,0.07608600437646908,484,426,0.02555244441016802
42,Black-Litterman,SPGI,0.042847846466498314,0.042847846466498314,0.0968458861309993,0.0033958291012235534,0.019135227475148595,0.01823979656317192,617,549,0.012957217759385482
43,Black-Litterman,T,0.0,0.0,0.12173191853010604,0.0,0.0,0.0,0,0,0.0
44,Black-Litterman,TMUS,0.05787895140515364,0.05787895140515364,0.09526369921452024,0.006187207834234941,0.03486442509767308,0.03323294807440297,623,543,0.019496203675224213
45,Black-Litterman,TXN,0.0,0.0,0.16673537219370843,0.0,0.0,0.0,0,0,0.0
46,Black-Litterman,UNP,0.0,0.0,0.118057806495451,0.0,0.0,0.0,0,0,0.0
47,Black-Litterman,V,0.13335699107863766,0.13335699107863766,0.1319124624963826,0.014769571678729854,0.08322536422141426,0.07933084225238325,752,667,0.031401041720643307
48,Black-Litterman,WDC,0.010101829192156563,0.010101829192156563,0.5669313480694387,0.009394000724941887,0.052934448529434436,0.05045738670285033,528,473,0.00861077977705778
