,Parameter,Model,Parameter Value,Baseline Value,Delta from Baseline,Sharpe Ratio,Sharpe Delta,Annualized Return,Return Delta,Maximum Drawdown,Drawdown Delta,HHI,HHI Delta
19,Maximum Weight,Equal-Weight,0.3,0.3,0.0,-0.7946669690779355,0.0,-0.08363099259420281,0.0,-0.5375993442041347,0.0,0.020000000000000004,0.0
20,Maximum Weight,Equal-Weight,0.4,0.3,0.10000000000000003,-0.7946669690779355,0.0,-0.08363099259420281,0.0,-0.5375993442041347,0.0,0.020000000000000004,0.0
21,Maximum Weight,Markowitz,0.2,0.3,-0.09999999999999998,-0.32695236979216724,-0.11035370793377028,-0.036441377159385335,-0.025943343730413626,-0.5757175013620142,-0.023693057394812755,0.16996186340000002,-0.03216204499999997
22,Maximum Weight,Markowitz,0.3,0.3,0.0,-0.21659866185839696,0.0,-0.01049803342897171,0.0,-0.5520244439672014,0.0,0.2021239084,0.0
23,Maximum Weight,Markowitz,0.4,0.3,0.10000000000000003,-0.16980891664388365,0.04678974521451332,0.0010534733918399208,0.01155150682081163,-0.5460263184730372,0.00599812549416423,0.21577691740000002,0.013653009000000021
24,Maximum Weight,Black-Litterman,0.2,0.3,-0.09999999999999998,-0.8305866323413954,0.0,-0.09398901059735987,0.0,-0.5075794149825061,0.0,0.09542058273852219,0.0
25,Maximum Weight,Black-Litterman,0.3,0.3,0.0,-0.8305866323413954,0.0,-0.09398901059735987,0.0,-0.5075794149825061,0.0,0.09542058273852219,0.0
26,Maximum Weight,Black-Litterman,0.4,0.3,0.10000000000000003,-0.8305866323413954,0.0,-0.09398901059735987,0.0,-0.5075794149825061,0.0,0.09542058273852219,0.0
27,Maximum Weight,Risk-Parity,0.2,0.3,-0.09999999999999998,-1.0774196020797848,0.0,-0.10546339439425279,0.0,-0.5383779531615456,0.0,0.02477542063880252,0.0
28,Maximum Weight,Risk-Parity,0.3,0.3,0.0,-1.0774196020797848,0.0,-0.10546339439425279,0.0,-0.5383779531615456,0.0,0.02477542063880252,0.0
29,Maximum Weight,Risk-Parity,0.4,0.3,0.10000000000000003,-1.0774196020797848,0.0,-0.10546339439425279,0.0,-0.5383779531615456,0.0,0.02477542063880252,0.0
30,Risk-Free Rate,Simulated (Max Sharpe Ratio),0.02,0.05,-0.030000000000000002,-0.3222209193204612,0.2832000840899403,-0.049551337943701035,0.02556558987762869,-0.5170202634526908,0.05568401259257283,0.060236240558644426,0.010863158305356606
31,Risk-Free Rate,Simulated (Max Sharpe Ratio),0.05,0.05,0.0,-0.6054210034104015,0.0,-0.07511692782132973,0.0,-0.5727042760452636,0.0,0.04937308225328782,0.0
32,Risk-Free Rate,Simulated (Max Sharpe Ratio),0.08,0.05,0.03,-0.8876518788189288,-0.2822308754085273,-0.08613409487490076,-0.011017167053571031,-0.553354018806312,0.019350257238951674,0.046828455963607504,-0.0025446262896803157
33,Risk-Free Rate,Equal-Weight,0.02,0.05,-0.030000000000000002,-0.6162651731357845,0.178401795942151,-0.08363099259420281,0.0,-0.5375993442041347,0.0,0.020000000000000004,0.0
34,Risk-Free Rate,Equal-Weight,0.05,0.05,0.0,-0.7946669690779355,0.0,-0.08363099259420281,0.0,-0.5375993442041347,0.0,0.020000000000000004,0.0
35,Risk-Free Rate,Equal-Weight,0.08,0.05,0.03,-0.9730687650200868,-0.17840179594215122,-0.08363099259420281,0.0,-0.5375993442041347,0.0,0.020000000000000004,0.0
36,Risk-Free Rate,Markowitz,0.02,0.05,-0.030000000000000002,-0.10973404588518818,0.10686461597320879,-0.010520081503372913,-2.2048074401204154e-05,-0.5498220796778451,0.0022023642893562734,0.2021572925,3.338410000000569e-05
37,Risk-Free Rate,Markowitz,0.05,0.05,0.0,-0.21659866185839696,0.0,-0.01049803342897171,0.0,-0.5520244439672014,0.0,0.2021239084,0.0
38,Risk-Free Rate,Markowitz,0.08,0.05,0.03,-0.32248250178297777,-0.10588383992458081,-0.010484331139069103,1.3702289902606246e-05,-0.5543614647750947,-0.0023370208078933308,0.20233755089999997,0.00021364249999997198
39,Risk-Free Rate,Black-Litterman,0.02,0.05,-0.030000000000000002,-0.9749831567428203,-0.14439652440142492,-0.11446137331348605,-0.02047236271612618,-0.5400090087200125,-0.03242959373750631,0.07224363550000001,-0.023176947238522178
40,Risk-Free Rate,Black-Litterman,0.05,0.05,0.0,-0.8305866323413954,0.0,-0.09398901059735987,0.0,-0.5075794149825061,0.0,0.09542058273852219,0.0
41,Risk-Free Rate,Black-Litterman,0.08,0.05,0.03,-0.715978387885085,0.11460824445631035,-0.07788461376053757,0.0161043968368223,-0.5341666509046601,-0.02658723592215395,0.17223068890355153,0.07681010616502934
42,Risk-Free Rate,Risk-Parity,0.02,0.05,-0.030000000000000002,-0.8695083559093586,0.20791124617042622,-0.10546339439425279,0.0,-0.5383779531615456,0.0,0.02477542063880252,0.0
43,Risk-Free Rate,Risk-Parity,0.05,0.05,0.0,-1.0774196020797848,0.0,-0.10546339439425279,0.0,-0.5383779531615456,0.0,0.02477542063880252,0.0
44,Risk-Free Rate,Risk-Parity,0.08,0.05,0.03,-1.2853308482502113,-0.20791124617042644,-0.10546339439425279,0.0,-0.5383779531615456,0.0,0.02477542063880252,0.0
45,Monte Carlo Simulations,Simulated (Max Sharpe Ratio),5000.0,5000.0,0.0,-0.4612064207559415,0.0,-0.049551337943701035,0.0,-0.5170202634526908,0.0,0.060236240558644426,0.0
46,Monte Carlo Simulations,Simulated (Max Sharpe Ratio),10000.0,5000.0,5000.0,-0.6054210034104015,-0.14421458265446002,-0.07511692782132973,-0.02556558987762869,-0.5727042760452636,-0.05568401259257283,0.04937308225328782,-0.010863158305356606
47,Monte Carlo Simulations,Simulated (Max Sharpe Ratio),20000.0,5000.0,15000.0,-0.7273623465310503,-0.26615592577510877,-0.08613409487490076,-0.03658275693119972,-0.553354018806312,-0.036333755353621155,0.046828455963607504,-0.013407784595036921
48,Monte Carlo Simulations,Equal-Weight,5000.0,5000.0,0.0,-0.7946669690779355,0.0,-0.08363099259420281,0.0,-0.5375993442041347,0.0,0.020000000000000004,0.0
49,Monte Carlo Simulations,Equal-Weight,10000.0,5000.0,5000.0,-0.7946669690779355,0.0,-0.08363099259420281,0.0,-0.5375993442041347,0.0,0.020000000000000004,0.0
50,Monte Carlo Simulations,Equal-Weight,20000.0,5000.0,15000.0,-0.7946669690779355,0.0,-0.08363099259420281,0.0,-0.5375993442041347,0.0,0.020000000000000004,0.0
51,Monte Carlo Simulations,Markowitz,5000.0,5000.0,0.0,-0.21659866185839696,0.0,-0.01049803342897171,0.0,-0.5520244439672014,0.0,0.2021239084,0.0
52,Monte Carlo Simulations,Markowitz,10000.0,5000.0,5000.0,-0.21659866185839696,0.0,-0.01049803342897171,0.0,-0.5520244439672014,0.0,0.2021239084,0.0
53,Monte Carlo Simulations,Markowitz,20000.0,5000.0,15000.0,-0.21659866185839696,0.0,-0.01049803342897171,0.0,-0.5520244439672014,0.0,0.2021239084,0.0
54,Monte Carlo Simulations,Black-Litterman,5000.0,5000.0,0.0,-0.8305866323413954,0.0,-0.09398901059735987,0.0,-0.5075794149825061,0.0,0.09542058273852219,0.0
55,Monte Carlo Simulations,Black-Litterman,10000.0,5000.0,5000.0,-0.8305866323413954,0.0,-0.09398901059735987,0.0,-0.5075794149825061,0.0,0.09542058273852219,0.0
56,Monte Carlo Simulations,Black-Litterman,20000.0,5000.0,15000.0,-0.8305866323413954,0.0,-0.09398901059735987,0.0,-0.5075794149825061,0.0,0.09542058273852219,0.0
57,Monte Carlo Simulations,Risk-Parity,5000.0,5000.0,0.0,-1.0774196020797848,0.0,-0.10546339439425279,0.0,-0.5383779531615456,0.0,0.02477542063880252,0.0
58,Monte Carlo Simulations,Risk-Parity,10000.0,5000.0,5000.0,-1.0774196020797848,0.0,-0.10546339439425279,0.0,-0.5383779531615456,0.0,0.02477542063880252,0.0
59,Monte Carlo Simulations,Risk-Parity,20000.0,5000.0,15000.0,-1.0774196020797848,0.0,-0.10546339439425279,0.0,-0.5383779531615456,0.0,0.02477542063880252,0.0
