,Date,Model,HHI,Effective Number of Holdings,Active Holdings (>1%),Maximum Weight,Minimum Weight,Allocation Change (L1)
19,2015-01-02,Equal-Weight,0.020000000000000004,49.99999999999999,50,0.02,0.02,0.0
20,2016-01-04,Equal-Weight,0.020000000000000004,49.99999999999999,50,0.02,0.02,0.0
21,2017-01-03,Equal-Weight,0.020000000000000004,49.99999999999999,50,0.02,0.02,0.0
22,2018-01-02,Equal-Weight,0.020000000000000004,49.99999999999999,50,0.02,0.02,0.0
23,2019-01-02,Equal-Weight,0.020000000000000004,49.99999999999999,50,0.02,0.02,0.0
24,2020-01-02,Equal-Weight,0.020000000000000004,49.99999999999999,50,0.02,0.02,0.0
25,2021-01-04,Equal-Weight,0.020000000000000004,49.99999999999999,50,0.02,0.02,0.0
26,2022-01-03,Equal-Weight,0.020000000000000004,49.99999999999999,50,0.02,0.02,0.0
27,2023-01-03,Equal-Weight,0.020000000000000004,49.99999999999999,50,0.02,0.02,0.0
28,2024-01-02,Equal-Weight,0.020000000000000004,49.99999999999999,50,0.02,0.02,0.0
29,2025-01-02,Equal-Weight,0.020000000000000004,49.99999999999999,50,0.02,0.02,0.0
30,2026-01-02,Equal-Weight,0.020000000000000004,49.99999999999999,50,0.02,0.02,0.0
31,2002-01-02,Markowitz,0.19081188,5.240763835040041,7,0.28457,0.0,1.0
32,2003-01-02,Markowitz,0.22378683419999998,4.468538122784706,5,0.3,0.0,1.24712
33,2004-01-02,Markowitz,0.14625222059999998,6.837503019766116,11,0.2427,0.0,1.37826
34,2005-01-03,Markowitz,0.14311888650000001,6.9871980173629975,8,0.20673,0.0,1.84823
35,2006-01-03,Markowitz,0.20737001519999998,4.822297953903994,6,0.3,0.0,1.99999
36,2007-01-03,Markowitz,0.1672772254,5.9781001126050475,9,0.26863,0.0,1.9416799999999999
37,2008-01-02,Markowitz,0.2283327215,4.379573779135287,7,0.3,0.0,1.5146099999999998
38,2009-01-02,Markowitz,0.26,3.846153846153846,4,0.3,0.0,1.9307299999999996
39,2010-01-04,Markowitz,0.2647920513,3.7765484088003665,4,0.3,0.0,1.1999900000000001
40,2011-01-03,Markowitz,0.2327876258,4.295760981982574,6,0.3,0.0,1.5193500000000002
41,2012-01-03,Markowitz,0.2349684593,4.255890356429639,5,0.3,0.0,1.9999900000000002
42,2013-01-02,Markowitz,0.23476076029999998,4.259655654216247,5,0.3,0.0,1.69774
43,2014-01-02,Markowitz,0.1624197767,6.156885696543382,9,0.3,0.0,1.76132
44,2015-01-02,Markowitz,0.23202074089999997,4.309959515347794,6,0.3,0.0,1.6823000000000001
45,2016-01-04,Markowitz,0.24902313579999996,4.015691139650327,5,0.3,0.0,2.00001
46,2017-01-03,Markowitz,0.1811682912,5.519729713054775,8,0.24656,0.0,1.90384
47,2018-01-02,Markowitz,0.16340838485602383,6.119637011779303,12,0.3000090002700081,0.0,1.961498844965349
48,2019-01-02,Markowitz,0.28,3.571428571428571,4,0.3,0.0,1.6825104753142595
49,2020-01-02,Markowitz,0.1433871978,6.974123320234102,8,0.20336,0.0,1.89328
50,2021-01-04,Markowitz,0.2538489323,3.9393508215279582,4,0.3,0.0,1.75615
51,2022-01-03,Markowitz,0.1505524469,6.642203568197203,9,0.24857,0.0,2.0
52,2023-01-03,Markowitz,0.2617193334,3.820887005208917,5,0.3,0.0,1.65143
53,2024-01-02,Markowitz,0.19537456659999997,5.118373478198673,6,0.3,0.0,2.0
54,2025-01-02,Markowitz,0.1336888382,7.480056027594382,11,0.18344,0.0,1.5445799999999998
55,2026-01-02,Markowitz,0.2561589726,3.9038257760407653,8,0.3,0.0,1.7940199999999997
56,2002-01-02,Risk-Parity,0.06554306763321655,15.257143678353108,23,0.10848481778984563,0.0034588881943982703,1.0
57,2003-01-02,Risk-Parity,0.09377522495104908,10.66379739981432,11,0.1344413052179348,0.0033647658429991844,0.2673016421355417
58,2004-01-02,Risk-Parity,0.09412152270391952,10.624562494018775,12,0.13495504026892358,0.003503344393884079,0.04175290653254447
59,2005-01-03,Risk-Parity,0.0785824427586534,12.72548886105836,19,0.12229806565425852,0.004472271176628706,0.1662181862144967
60,2006-01-03,Risk-Parity,0.07233075364239576,13.825377859935122,21,0.11678399696258276,0.005346224311883461,0.1115258516517263
61,2007-01-03,Risk-Parity,0.07206968634686041,13.875459304584073,24,0.12851430282940948,0.005080974620047917,0.2443864255457176
62,2008-01-02,Risk-Parity,0.09291954548936389,10.761998401234816,25,0.17058663015008352,0.005651548152085986,0.3580770276200295
63,2009-01-02,Risk-Parity,0.10659237174384173,9.381534378493402,35,0.22316496382977005,0.0042410905323426755,0.35983770540784193
64,2010-01-04,Risk-Parity,0.10123073185421325,9.878423100211734,27,0.215245880726025,0.0038670823048262983,0.1359813686326107
65,2011-01-03,Risk-Parity,0.11006253691162385,9.085743687726943,29,0.28527090242094555,0.005493738764396184,0.24630030539362657
66,2012-01-03,Risk-Parity,0.1015365828972201,9.848667066255764,39,0.3,0.006651197530359576,0.28287010067307555
67,2013-01-02,Risk-Parity,0.06406971777605175,15.607997580001582,43,0.2233090119278557,0.007351675126341199,0.1818290205169064
68,2014-01-02,Risk-Parity,0.06824380403549024,14.653344931943554,48,0.23610333143090587,0.009238863832800245,0.15552211040900044
69,2015-01-02,Risk-Parity,0.08123201856185176,12.31041672611618,48,0.26297740958209737,0.007688560404432128,0.14517268203860645
70,2016-01-04,Risk-Parity,0.10029300165232657,9.970785433928652,49,0.3,0.009282791551658353,0.154070626563983
71,2017-01-03,Risk-Parity,0.025237286911995203,39.623910584647795,47,0.07217724464144788,0.007854811213222923,0.48537608362571455
72,2018-01-02,Risk-Parity,0.022964361295343884,43.54573537400119,50,0.03992562909392209,0.01023792089913267,0.24421232616633895
73,2019-01-02,Risk-Parity,0.02251971041529067,44.405544367968844,50,0.04968192855773854,0.010293183235026523,0.19599909743599248
74,2020-01-02,Risk-Parity,0.02826453599853079,35.38002534525883,48,0.08736450988952395,0.008016085295999361,0.19833404667499815
75,2021-01-04,Risk-Parity,0.022559549634937087,44.3271260367423,50,0.04459654478950123,0.011264530515160924,0.2438093443752088
76,2022-01-03,Risk-Parity,0.02470206370050808,40.48244762559784,48,0.05621898914011199,0.00811040248117889,0.19868909151388003
77,2023-01-03,Risk-Parity,0.023803507141034214,42.01061608590137,49,0.045672983568222275,0.009858672577608855,0.20355175006796652
78,2024-01-02,Risk-Parity,0.023300830846016165,42.916924577003826,50,0.04008282207900105,0.01158178528407447,0.15082509567929323
79,2025-01-02,Risk-Parity,0.024545009379551033,40.741479644050216,48,0.04556475076309547,0.007392553470608435,0.17729108623335893
