,Rebalance Date,Next Rebalance,Model,Holding Days,Gross Return,Net Return,Annualized Gross Return,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Maximum Drawdown,Calmar Ratio,"Value-at-Risk (VaR, 95%)","Conditional Value-at-Risk (CVaR, 95%)",Allocation Turnover,Transaction Cost Rate
10,2004-01-02,2005-01-03,Markowitz,252,-0.0012575658438457316,-0.0026340925911457758,-0.0012575658438457316,0.14559025484319962,-0.3520672856782208,-0.55547844673005,-0.12519056032501552,-0.01004521299833535,-0.014044757343776098,-0.01958877803953539,1.37826,0.00137826
11,2004-01-02,2005-01-03,Risk-Parity,252,0.038672983761947055,0.038629616145938295,0.038672983761947055,0.036710790322841386,-0.30854732732368606,-0.5072417191831285,-0.020232714856742495,1.911408529985752,-0.003873170387347061,-0.00473587916516546,0.04175290653254475,4.175290653254475e-05
12,2005-01-03,2006-01-03,Simulated (Max Sharpe Ratio),252,0.07634138184794503,0.07506046855130077,0.07634138184794503,0.11172536070662525,0.23576904725430886,0.3989442790010146,-0.0768743704640431,0.9930667579730312,-0.011485929755125857,-0.013844087838470383,1.1900622964483538,0.001190062296448354
13,2005-01-03,2006-01-03,Equal-Weight,252,0.08577855691382763,0.08577855691382763,0.08577855691382763,0.10295751992825823,0.3475079521996884,0.6004837983614987,-0.06946196907942959,1.2348995867902919,-0.00995932915626156,-0.012502685032561446,0.0,0.0
14,2005-01-03,2006-01-03,Markowitz,252,0.08086449171192944,0.07886679489043891,0.08086449171192944,0.12688095097081883,0.24325552004278342,0.3852596519056623,-0.10232101252271875,0.7903019108022878,-0.012884082821812482,-0.01700246301526999,1.848239845798458,0.001848239845798458
15,2005-01-03,2006-01-03,Risk-Parity,252,0.03139803943427344,0.031226602322893537,0.03139803943427344,0.04115865325155247,-0.45195746449806184,-0.7687230658688962,-0.028209500906012153,1.1130306608005862,-0.004000923482645087,-0.005069134173220608,0.1662181862144969,0.0001662181862144969
16,2006-01-03,2007-01-03,Simulated (Max Sharpe Ratio),251,0.17403146095072897,0.1726315029670047,0.1747821619678842,0.14950161173461154,0.8346542924861026,1.3611916815906273,-0.10440825286085054,1.6740263071045167,-0.014442544727057874,-0.019521103500263523,1.1924365149385048,0.0011924365149385049
17,2006-01-03,2007-01-03,Equal-Weight,251,0.16043912150114048,0.16043912150114048,0.16112726005447842,0.11184169684441268,0.9936120712570362,1.6162015220427803,-0.09112541593218404,1.7681923139246911,-0.010255995944110146,-0.014349693220140482,0.0,0.0
18,2006-01-03,2007-01-03,Markowitz,251,0.10280256185603709,0.10059695673232505,0.10323258368039445,0.1981295474759264,0.26867564358043283,0.3665034667826491,-0.17962010650187155,0.5747273269728231,-0.019187081615728612,-0.028674947389093004,1.9999999999999998,0.0019999999999999996
19,2006-01-03,2007-01-03,Risk-Parity,251,0.1779029599530697,0.17777159332229786,0.17867159617295325,0.06391122293136568,2.0132864037218283,3.4122310900746444,-0.036902380896903786,4.841736273659901,-0.005287938575923011,-0.0074881993839055385,0.1115258516517263,0.0001115258516517263
20,2007-01-03,2008-01-02,Simulated (Max Sharpe Ratio),251,0.17535825493999568,0.1739170527031002,0.1761150967492653,0.16969459668610792,0.7431886413127597,1.068390024176049,-0.10799186796782101,1.6308181353224056,-0.01846110159035748,-0.023191258278012,1.2261812352430854,0.0012261812352430854
21,2007-01-03,2008-01-02,Equal-Weight,251,0.07769290867152612,0.07769290867152612,0.07801421449929058,0.1521472684734749,0.1841256486584544,0.23657146687945915,-0.09369016199948299,0.8326830996377302,-0.017552441059876984,-0.023132489045647665,0.0,0.0
