,Scenario,Portfolio,Cumulative Return,Stress Return,Volatility,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown,"Value-at-Risk (VaR, 95%)","Conditional Value-at-Risk (CVaR, 95%)",Worst Day,Best Day,Recovery Days,Sharpe Rank
8,Global Financial Crisis,Black-Litterman,-0.08570023683062233,-0.002652391919912441,0.3387941489383411,-0.15541116068534858,-0.2264459137473415,-0.006163048591478483,-0.43037011319038554,-0.034167677121358764,-0.04992834051636174,-0.0837872158107544,0.09595451450367144,,1.0
6,Global Financial Crisis,Markowitz,-0.08460087180448606,-0.013411974972900633,0.3024658970476451,-0.20964999886553107,-0.2984899723709872,-0.03568073281254036,-0.3758884393816838,-0.033310640237964394,-0.04412259381818171,-0.0770721597532143,0.09015353691311716,,2.0
5,Global Financial Crisis,Equal Weight,-0.17291997991251318,-0.05126243188296424,0.3898425104882462,-0.25975215416128233,-0.3778646140674604,-0.11097409747612415,-0.4619315051784336,-0.04058101800740988,-0.056956905194682786,-0.08710772993729976,0.12340845155317179,,3.0
7,Global Financial Crisis,Monte Carlo,-0.15388067615301948,-0.04959173274533971,0.3529057998342519,-0.2822048625783839,-0.40425295701840686,-0.10853532626842309,-0.4569178943885275,-0.040167144229823766,-0.05183765556759497,-0.0821686408617724,0.1040916811065413,,4.0
9,Global Financial Crisis,Risk Parity,-0.15360214107253545,-0.05213314480370174,0.3452817822175765,-0.29579650611089403,-0.4228181997996952,-0.12679370269633472,-0.4111650949145188,-0.0357020071420193,-0.05078102006540779,-0.0809861959567264,0.1109352057594815,,5.0
21,Inflation Bear Market,Markowitz,0.049701100165106205,0.07374934748555159,0.2243709042467244,0.10584860619644405,0.1711260034219325,0.3769770729997181,-0.1956335086871629,-0.02284424644092234,-0.029958885090770878,-0.05041417301217441,0.04618127002059695,41.0,1.0
23,Inflation Bear Market,Black-Litterman,-0.08393426219421274,-0.05543273882924773,0.2557289421881136,-0.41228316954320976,-0.6595678074677838,-0.2105433610879346,-0.2632841925901237,-0.02664594904453832,-0.03545702500929031,-0.053672290057941906,0.05524268491734508,,2.0
24,Inflation Bear Market,Risk Parity,-0.0651666289535493,-0.04582525753393579,0.2093700649363805,-0.45768365961510976,-0.7455295227961836,-0.21141198384345908,-0.21675808864206725,-0.02061890293748111,-0.028639254495236487,-0.0395163437268417,0.04758624465960539,,3.0
20,Inflation Bear Market,Equal Weight,-0.09482842629468258,-0.07354091381317425,0.2306132741133106,-0.5357059964920887,-0.8873734793737591,-0.30395714660218576,-0.24194500650916895,-0.02259483387899583,-0.03130499398738355,-0.04338692624431548,0.05306699921574206,,4.0
22,Inflation Bear Market,Monte Carlo,-0.116473936174462,-0.09747813831286174,0.2320835084296785,-0.6354528993064914,-1.042132471746188,-0.3723285340481646,-0.2618067899685924,-0.022879086118782747,-0.03207386637597828,-0.044483468584415764,0.05324737016922126,,5.0
28,Israel-Palestine Gaza War,Black-Litterman,2.0598553421699624,0.4073426968158041,0.1947116921849156,1.8352400557252595,2.6606993810711623,2.088617502658998,-0.19502982058573204,-0.01699154260641425,-0.024480164129568605,-0.07816770710983136,0.09897815411669517,37.0,1.0
29,Israel-Palestine Gaza War,Risk Parity,1.1090137589534947,0.26862930550349035,0.13787747635123243,1.5856781781133618,2.2017733639422863,1.7103653949447208,-0.15705960042074663,-0.01179918649243183,-0.017897250813779183,-0.06546904337497438,0.08120865831535615,62.0,2.0
26,Israel-Palestine Gaza War,Markowitz,1.5199693617090286,0.33777427241514757,0.183695852882883,1.5665801263277332,2.41192485341661,1.67875756489953,-0.20120491456153922,-0.01568132661282429,-0.02335018211966945,-0.06232807678566851,0.07649202671417653,86.0,3.0
27,Israel-Palestine Gaza War,Monte Carlo,1.2283748569911968,0.2905354449964603,0.15683989206115,1.533636894513281,2.1612353322554885,1.553520128410081,-0.18701749638339282,-0.013201602832732843,-0.020377717577901706,-0.06684529601889547,0.09042655643312321,63.0,4.0
25,Israel-Palestine Gaza War,Equal Weight,1.2267620762657088,0.2903672792833661,0.15740177201764946,1.5270938579802882,2.1172626647859834,1.5821481482357707,-0.1835272377034668,-0.01368188624228383,-0.020833977025325804,-0.0685939386081346,0.09459543942352061,63.0,5.0
13,Russia-Ukraine War,Black-Litterman,12.972982625965129,0.23217112592930136,0.20244926979069996,0.8998359249091737,1.1591155711207397,0.6148539985905811,-0.3776036692637652,-0.0179524039929638,-0.029115432629692524,-0.12904676676397792,0.13252138080628253,156.0,1.0
11,Russia-Ukraine War,Markowitz,9.710722405481576,0.20823774920030808,0.18917709170550287,0.8364530175072207,1.0917108196975163,0.6309327335819227,-0.33004746483528213,-0.01663354435263868,-0.02715369045979903,-0.11330917993789277,0.11421271116652026,119.0,2.0
12,Russia-Ukraine War,Monte Carlo,6.507740009858089,0.17881281139346766,0.1842309918853159,0.6991918681828184,0.879158783765382,0.49183110208990566,-0.3635654813891397,-0.016178680924297827,-0.02672930293590894,-0.12980307608518424,0.11727340738538958,142.0,3.0
10,Russia-Ukraine War,Equal Weight,6.337623004080189,0.17724463826783352,0.18573881050181254,0.6850729684553017,0.861058402338233,0.4782632362865398,-0.3706005915153422,-0.016502677130250786,-0.026944263230547893,-0.1273538227569452,0.11917661865018302,163.0,4.0
14,Russia-Ukraine War,Risk Parity,5.559174025969922,0.16533318047565093,0.1694201047947316,0.6807526215108173,0.8474801823955185,0.4729449927777352,-0.34958226220898114,-0.015133222619443798,-0.02468655880562874,-0.11634201494639634,0.11311463075133998,154.0,5.0
0,SARS Outbreak,Equal Weight,0.19299701500377142,0.437884244647944,0.1910937299268146,2.029811468939858,3.7788869154236715,8.28234517996467,-0.05286959612685593,-0.014710265686380123,-0.021481293136474396,-0.03044197616511306,0.038791833584855835,6.0,1.0
4,SARS Outbreak,Risk Parity,0.1619258504886416,0.3702312722384286,0.16347522164832623,1.9588979235478368,3.6892022378848237,7.173561959547204,-0.051610521290011646,-0.013470084166335689,-0.018505091400159965,-0.02660018788408405,0.03269760163613613,6.0,2.0
2,SARS Outbreak,Monte Carlo,0.16661211876913518,0.3811882160191651,0.17179955498828087,1.9277594522393073,3.656158406721864,8.123617113669079,-0.04692345917901086,-0.013765787769639281,-0.018896399004308315,-0.026790598529857435,0.034566077976026566,6.0,3.0
3,SARS Outbreak,Black-Litterman,0.09063913798171597,0.2113788391422839,0.10091370208552138,1.5991766807397485,3.2255365126146542,5.690631439135844,-0.037145058751930526,-0.008846103369186516,-0.010090396114640595,-0.013591178283132936,0.023228107877087335,6.0,4.0
1,SARS Outbreak,Markowitz,0.09276997512207141,0.21830031266584704,0.12184126882594562,1.3813079450630947,3.2117622478753938,4.2331808751277915,-0.05156886017993667,-0.009687829816689949,-0.011101095453288738,-0.012274108955300036,0.0350519320635698,6.0,5.0
