,Model,Ticker,Mean,Std,Minimum,Maximum,Range,Coefficient of Variation
117,Markowitz,GM,0.0318304,0.08001084538361034,0.0,0.27704,0.27704,2.5136613232510534
118,Markowitz,GS,0.004581999999999999,0.017814892646322626,0.0,0.08539,0.08539,3.8880167277002684
119,Markowitz,HAS,0.041733200000000005,0.08112352709089186,0.0,0.3,0.3,1.9438606934261415
120,Markowitz,IBM,0.0049092,0.02037543903821461,0.0,0.10032,0.10032,4.150460164225253
121,Markowitz,INTC,0.0177488,0.04993744981808076,0.0,0.18529,0.18529,2.813567667565174
122,Markowitz,JBL,0.014962,0.052796625602400005,0.0,0.22443,0.22443,3.5287144501002543
123,Markowitz,JNJ,0.022638062845885373,0.06543558621176725,0.0,0.3,0.3,2.8905117304973214
124,Markowitz,JPM,0.0034228,0.014448819882606332,0.0,0.07144,0.07144,4.2213450632833736
125,Markowitz,KLAC,0.0064183999999999995,0.032091999999999996,0.0,0.16046,0.16046,5.0
126,Markowitz,KMB,0.0155924,0.060913379365018554,0.0,0.3,0.3,3.9066070242565964
127,Markowitz,LMT,0.05821,0.09568714625451703,0.0,0.26041,0.26041,1.6438265977412307
128,Markowitz,LOW,0.03647483208896267,0.09195216736743171,0.0,0.3,0.3,2.5209757550948826
129,Markowitz,MA,0.038054000000000004,0.09097751544566748,0.0,0.3,0.3,2.39074776490428
130,Markowitz,MKC,0.058303200000000006,0.08985405359618823,0.0,0.3,0.3,1.5411513192447106
131,Markowitz,MMM,0.008000050929527887,0.019882187696322672,0.0,0.0734,0.0734,2.485257640415546
132,Markowitz,MRK,0.0334196,0.09257164587856623,0.0,0.3,0.3,2.7699806663923634
133,Markowitz,MS,0.0,0.0,0.0,0.0,0.0,
134,Markowitz,MU,0.019936037321119635,0.06539102800126224,0.0,0.3,0.3,3.2800414118401036
135,Markowitz,NEM,0.057013623100693016,0.09905720143727849,0.0,0.3,0.3,1.7374303903179664
136,Markowitz,OLN,0.00762,0.0381,0.0,0.1905,0.1905,5.0
137,Markowitz,PG,0.0092552,0.02478749249789767,0.0,0.08656,0.08656,2.678223322877698
138,Markowitz,PH,0.0090796,0.02955404293831895,0.0,0.11521,0.11521,3.254993935671059
139,Markowitz,PPG,0.012178,0.05996950975287359,0.0,0.3,0.3,4.924413676537493
140,Markowitz,QCOM,0.0124576,0.0499892825413608,0.0,0.24481,0.24481,4.0127538644169665
141,Markowitz,RTX,0.0088956,0.03492680466346729,0.0,0.17232,0.17232,3.9263011672587895
142,Markowitz,SPGI,0.021730589185675574,0.05357372179978654,0.0,0.17976,0.17976,2.465359836405237
143,Markowitz,T,0.0361448,0.08049033224141476,0.0,0.26863,0.26863,2.2268855337812012
144,Markowitz,TMUS,0.0430112,0.08903009712638381,0.0,0.3,0.3,2.069928230934822
145,Markowitz,TXN,0.0,0.0,0.0,0.0,0.0,
146,Markowitz,UNP,0.0089496,0.044748,0.0,0.22374,0.22374,5.0
147,Markowitz,V,0.01628001335640069,0.056361086738707204,0.0,0.24475,0.24475,3.461980374638215
148,Markowitz,WDC,0.0369804,0.08783062504426727,0.0,0.3,0.3,2.375058816136853
149,Markowitz,XOM,0.020058,0.06251790210278439,0.0,0.3,0.3,3.116856222095144
150,Risk-Parity,ABT,0.01967093471922752,0.00703137351882744,0.007832567229577526,0.03459943683003617,0.026766869600458643,0.3574498934183623
151,Risk-Parity,ADBE,0.01204882070174545,0.005041094708394348,0.004272793237737582,0.022313795523109796,0.018041002285372212,0.4183890550935056
152,Risk-Parity,ADI,0.010794400168802327,0.003996324165075501,0.0033647658429991844,0.017014334179329887,0.013649568336330702,0.3702219764490078
153,Risk-Parity,ADP,0.015745581513247075,0.0045736647013810035,0.006570210912389292,0.024681690073196778,0.018111479160807485,0.2904728985419235
154,Risk-Parity,AMAT,0.009506646740766365,0.0030848542352141716,0.0034803715653409653,0.01415811423743422,0.010677742672093253,0.32449446364570506
155,Risk-Parity,AME,0.01337364371466229,0.004350398053587046,0.006022473851717266,0.019586400634561008,0.013563926782843742,0.32529639239734315
156,Risk-Parity,AXP,0.012036494870163693,0.00465890061809924,0.004642292632485168,0.020333068805361797,0.01569077617287663,0.3870645622628741
157,Risk-Parity,BA,0.012530743301280073,0.0037701366579532642,0.0061351997638648655,0.019295143227087835,0.01315994346322297,0.30087095133200337
158,Risk-Parity,CL,0.025163003619034115,0.009609623967194883,0.012133853691724823,0.043639231362225236,0.03150537767050041,0.38189494834097826
159,Risk-Parity,COF,0.01051073036602928,0.00385684317215028,0.0038670823048262983,0.018017324796629,0.014150242491802701,0.3669434033447963
160,Risk-Parity,CSCO,0.013233444556411924,0.005662749118445509,0.0037967349428078617,0.02273739090132575,0.018940655958517887,0.4279119540121374
161,Risk-Parity,CVX,0.016382349112634045,0.006173193251190282,0.008649736308011089,0.03335347497376133,0.024703738665750243,0.37681978382633313
162,Risk-Parity,DD,0.011250555622548494,0.0039505993797561145,0.005584191254426485,0.020399627996920376,0.01481543674249389,0.3511470466257042
163,Risk-Parity,DELL,0.12676115555589618,0.10411296871032483,0.010577471220054355,0.3,0.2894225287799456,0.8213318051081944
164,Risk-Parity,FDX,0.012652127350607272,0.0037505643245131356,0.00730361001772862,0.019346071634063516,0.012042461616334897,0.29643744649259457
165,Risk-Parity,GE,0.01311462091585642,0.004648753277855044,0.004894890572405866,0.022369482347275507,0.017474591774869642,0.3544710371486531
166,Risk-Parity,GILD,0.01701055713323934,0.009571107113342515,0.004676726864398555,0.04103564611214364,0.03635891924774508,0.5626568864484851
